Age,Gender,Race,Domestic,Country,State,Program,Status,Index
22,Female,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Unsubmitted,298
24,Male,Asian,International,Pakistan,Sindh,Computer Science: Scientific Computing (MS),Unsubmitted,299
29,Female,Black or African American,Domestic,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,300
22,Female,Asian,International,India,Assam,Computer Science: Scientific Computing (MS),Unsubmitted,301
22,Female,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Unsubmitted,302
22,Female,Asian,International,China,Guangdong,Computer Science: Scientific Computing (MS),Unsubmitted,303
18,Male,Hispanic or Latino,Domestic,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,304
23,Male,None Listed,International,China,Chongqing,Computer Science: Scientific Computing (MS),Unsubmitted,305
24,Female,Asian,International,"Taiwan, Province Of China",None Listed,Computer Science: Scientific Computing (MS),Unsubmitted,306
25,Male,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Unsubmitted,307
21,Female,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Unsubmitted,308
38,Female,White,International,"Iran, Islamic Republic Of",Golestan,Computer Science: Scientific Computing (MS),Unsubmitted,309
24,Male,None Listed,International,India,Aaryana,Computer Science: Scientific Computing (MS),Unsubmitted,310
26,Male,Asian,International,India,None Listed,Computer Science: Scientific Computing (MS),Unsubmitted,311
21,Male,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Unsubmitted,312
29,Male,Asian,International,"Korea, Republic of",None Listed,Computer Science: Scientific Computing (MS),Unsubmitted,313
25,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Unsubmitted,314
21,Male,Asian,International,India,None Listed,Computer Science: Scientific Computing (MS),Unsubmitted,315
25,Male,Asian,International,India,Madhya Pradesh,Computer Science: Scientific Computing (MS),Unsubmitted,316
23,Female,Black or African American,International,Ghana,Accra,Computer Science: Scientific Computing (MS),Unsubmitted,317
23,Female,None Listed,International,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,318
35,Male,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Submitted App,319
23,Female,Asian,International,India,Gujrat,Computer Science: Scientific Computing (MS),Submitted App,320
27,Female,American Indian or Alaska Native,International,United States,New Jersey,Computer Science: Scientific Computing (MS),Submitted App,321
25,Female,None Listed,International,India,Telangana,Computer Science: Scientific Computing (MS),Submitted App,322
28,Female,Black or African American,International,Sierra Leone,Freetown/Western,Computer Science: Scientific Computing (MS),Submitted App,323
30,Male,Asian,International,Sri Lanka,Centrel,Computer Science: Scientific Computing (MS),Submitted App,324
29,Male,Asian,International,India,Uttar Pradesh,Computer Science: Scientific Computing (MS),Submitted App,325
30,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Submitted App,326
23,Male,Asian,International,Pakistan,Sindh,Computer Science: Scientific Computing (MS),Submitted App,327
22,Female,Black or African American,International,Nigeria,Abuja,Computer Science: Scientific Computing (MS),Submitted App,328
26,Male,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Submitted App,329
30,Male,Asian; White,International,"Iran, Islamic Republic Of",Kurdistan,Computer Science: Scientific Computing (MS),Submitted App,330
21,Female,Asian,International,India,Uttar Pradesh,Computer Science: Scientific Computing (MS),Submitted App,331
34,Male,Black or African American,International,Ghana,Battor,Computer Science: Scientific Computing (MS),Submitted App,332
46,Male,Asian,International,China,Jiangsu,Computer Science: Scientific Computing (MS),Submitted App,333
23,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Submitted App,334
30,Male,Asian,International,United States,Pennsylvania,Computer Science: Scientific Computing (MS),Submitted App,335
35,Male,Black or African American,International,Nigeria,Lagos,Computer Science: Scientific Computing (MS),Submitted App,336
29,Female,Black or African American,International,Nigeria,Rivers,Computer Science: Scientific Computing (MS),Submitted App,337
23,Male,White,International,"Iran, Islamic Republic Of",East Azerbaijan,Computer Science: Scientific Computing (MS),Submitted App,338
24,Male,White,International,"Iran, Islamic Republic Of",Razavi Khorasan,Computer Science: Scientific Computing (MS),Submitted App,339
21,Female,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Submitted App,340
28,Male,Asian,International,United States,Illinois,Computer Science: Scientific Computing (MS),Submitted App,341
23,Male,Asian,Domestic,United States,Pennsylvania,Computer Science: Scientific Computing (MS),Submitted App,342
24,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Submitted App,343
25,Female,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Submitted App,344
21,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Submitted App,345
21,Female,Asian,International,United States,New Jersey,Computer Science: Scientific Computing (MS),Incomplete,346
22,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Incomplete,347
20,Female,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Incomplete,348
21,Male,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Incomplete,349
22,Male,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Incomplete,350
21,Female,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Incomplete,351
21,Male,None Listed,International,India,None Listed,Computer Science: Scientific Computing (MS),Incomplete,352
22,Male,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Incomplete,353
23,Female,Asian,International,Australia,Victoria,Computer Science: Scientific Computing (MS),Incomplete,354
33,Male,White,International,United States,Pennsylvania,Computer Science: Scientific Computing (MS),Incomplete,355
22,Female,Asian,International,China,Fujian,Computer Science: Scientific Computing (MS),Incomplete,356
23,Male,Asian,International,India,None Listed,Computer Science: Scientific Computing (MS),Incomplete,357
23,Female,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Incomplete,358
23,Female,None Listed,International,"Iran, Islamic Republic of",None Listed,Computer Science: Scientific Computing (MS),Incomplete,359
22,Male,Asian,International,United States,Michigan,Computer Science: Scientific Computing (MS),Incomplete,360
23,Male,Asian,International,Nepal,None Listed,Computer Science: Scientific Computing (MS),Incomplete,361
24,Male,Asian,International,India,None Listed,Computer Science: Scientific Computing (MS),Incomplete,362
24,Male,Asian,International,India,Tamil nadu,Computer Science: Scientific Computing (MS),Admit,363
22,Male,Asian,International,India,Uttar Pradesh,Computer Science: Scientific Computing (MS),Admit,364
21,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Admit,365
22,Female,Asian,International,India,Punjab,Computer Science: Scientific Computing (MS),Admit,366
23,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Admit-Coming,367
26,Female,Asian,International,India,Bihar,Computer Science: Scientific Computing (MS),Admit-Coming,368
27,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Admit-Coming,369
26,Female,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Admit-Coming,370
21,Female,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Not Coming (Fall),371
20,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Not Coming (Fall),372
24,Female,Asian,International,India,Rajasthan,Computer Science: Scientific Computing (MS),Not Coming (Fall),373
22,Female,Asian,International,India,Goa,Computer Science: Scientific Computing (MS),Not Coming (Fall),374
22,Male,Black or African American,Domestic,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,375
21,Male,Asian,Domestic,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,376
44,Female,None Listed,International,Nigeria,Rivers,Creative Writing (MFA) Camden,Unsubmitted,377
66,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Unsubmitted,378
23,Female,Asian,International,Pakistan,Punjab,Creative Writing (MFA) Camden,Unsubmitted,379
27,Male,None Listed,Domestic,United States,Tennessee,Creative Writing (MFA) Camden,Unsubmitted,380
25,Male,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Unsubmitted,381
45,Female,None Listed,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Unsubmitted,382
35,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Unsubmitted,383
23,Male,None Listed,Domestic,United States,New York,Creative Writing (MFA) Camden,Unsubmitted,384
29,Male,White,International,United Kingdom,None Listed,Creative Writing (MFA) Camden,Unsubmitted,385
27,Female,White,Domestic,United States,Connecticut,Creative Writing (MFA) Camden,Unsubmitted,386
23,Female,Black or African American,International,Ghana,None Listed,Creative Writing (MFA) Camden,Unsubmitted,387
23,Female,Black or African American,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Unsubmitted,388
25,Male,Asian,International,United States,Wisconsin,Creative Writing (MFA) Camden,Unsubmitted,389
27,Female,White,International,United States,Illinois,Creative Writing (MFA) Camden,Unsubmitted,390
38,Female,Asian,International,India,Maharashtra,Creative Writing (MFA) Camden,Unsubmitted,391
27,Female,Hispanic or Latino; White,Domestic,United States,California,Creative Writing (MFA) Camden,Unsubmitted,392
33,Male,Asian,International,China,None Listed,Creative Writing (MFA) Camden,Unsubmitted,393
26,Female,White,Domestic,United States,Louisiana,Creative Writing (MFA) Camden,Unsubmitted,394
29,Female,Asian,International,Pakistan,Punjab,Creative Writing (MFA) Camden,Unsubmitted,395
23,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Unsubmitted,396
46,Male,Black or African American,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Submitted App,397
31,Male,Black or African American,International,Nigeria,Federal Capital Territory,Creative Writing (MFA) Camden,Submitted App,398
24,Male,Asian,International,India,Delhi,Creative Writing (MFA) Camden,Submitted App,399
40,Female,White,International,"Iran, Islamic Republic Of",East Azerbaijan,Creative Writing (MFA) Camden,Submitted App,400
31,Female,Asian,International,Pakistan,Sindh,Creative Writing (MFA) Camden,Submitted App,401
35,Male,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,402
22,Female,Hispanic or Latino,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,403
22,Male,White,Domestic,United States,Missouri,Creative Writing (MFA) Camden,Incomplete,404
30,Male,Black or African American,Domestic,United States,Tennessee,Creative Writing (MFA) Camden,Incomplete,405
26,Female,White,International,Japan,Aomori-ken,Creative Writing (MFA) Camden,Incomplete,406
26,Female,White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,407
28,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,408
32,Male,Black or African American,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,409
24,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,410
26,Male,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,411
26,Male,Black or African American,Domestic,United States,Delaware,Creative Writing (MFA) Camden,Incomplete,412
29,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,413
20,Male,Asian,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,414
23,Female,White,Domestic,United States,Florida,Creative Writing (MFA) Camden,Incomplete,415
31,Male,White,Domestic,United States,Oregon,Creative Writing (MFA) Camden,Incomplete,416
24,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,417
24,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,418
28,Male,None Listed,Domestic,United States,Massachusetts,Creative Writing (MFA) Camden,Incomplete,419
24,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,420
44,Female,Asian,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,421
22,Female,Hispanic or Latino; White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,422
26,Male,White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,423
22,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,424
23,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,425
48,Male,Black or African American; White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,426
24,Male,Black or African American,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,427
43,Female,None Listed,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,428
30,Male,None Listed,Domestic,United States,Maryland,Creative Writing (MFA) Camden,Incomplete,429
26,Male,White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,430
25,Male,White,Domestic,United States,North Carolina,Creative Writing (MFA) Camden,Incomplete,431
24,Female,Asian,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,432
28,Male,Black or African American,International,Nigeria,Lagos,Creative Writing (MFA) Camden,Incomplete,433
22,Male,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,434
43,Male,Black or African American,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,435
49,Female,"Black or African American; Hispanic or Latino; Puerto Rico,Black or African American",Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,436
25,Male,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,437
28,Female,White,Domestic,United States,Minnesota,Creative Writing (MFA) Camden,Incomplete,438
21,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,439
20,Female,Hispanic or Latino,Domestic,United States,Texas,Creative Writing (MFA) Camden,Incomplete,440
30,Male,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,441
22,Male,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,442
28,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,443
29,Male,Hispanic or Latino; White,Domestic,United States,Arizona,Creative Writing (MFA) Camden,Incomplete,444
26,Female,White,Domestic,United States,Illinois,Creative Writing (MFA) Camden,Incomplete,445
21,Female,Black or African American; Hispanic or Latino,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,446
54,Female,White,International,Australia,Australian Capital Territory,Creative Writing (MFA) Camden,Incomplete,447
22,Male,White,Domestic,United States,Florida,Creative Writing (MFA) Camden,Incomplete,448
33,Female,Asian,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,449
21,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,450
20,Male,White,Domestic,United States,Illinois,Creative Writing (MFA) Camden,Incomplete,451
36,Female,Hispanic or Latino,Domestic,United States,Massachusetts,Creative Writing (MFA) Camden,Incomplete,452
38,Female,Asian,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,453
22,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,454
26,Male,White,International,"Iran, Islamic Republic Of",Tehran,Creative Writing (MFA) Camden,Incomplete,455
32,Female,White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,456
23,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,457
28,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,458
26,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,459
22,Female,Black or African American; White,Domestic,United States,Georgia,Creative Writing (MFA) Camden,Incomplete,460
22,Male,White,Domestic,United States,Wisconsin,Creative Writing (MFA) Camden,Incomplete,461
37,Male,White,Domestic,United States,California,Creative Writing (MFA) Camden,Incomplete,462
21,Female,Black or African American,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,463
36,Female,None Listed,Domestic,United States,Indiana,Creative Writing (MFA) Camden,Incomplete,464
35,Male,White,International,Turkey,None Listed,Creative Writing (MFA) Camden,Incomplete,465
23,Female,Black or African American,International,Ghana,None Listed,Creative Writing (MFA) Camden,Incomplete,466
25,Female,Black or African American,International,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,467
24,Female,White,Domestic,United States,Tennessee,Creative Writing (MFA) Camden,Incomplete,468
31,Female,White,Domestic,United States,Massachusetts,Creative Writing (MFA) Camden,Incomplete,469
21,Female,White,International,Armenia,Yerevan,Creative Writing (MFA) Camden,Incomplete,470
35,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,471
38,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,472
57,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,473
22,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,474
24,Male,White,Domestic,United States,Wisconsin,Creative Writing (MFA) Camden,Incomplete,475
25,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,476
22,Male,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,477
32,Male,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,478
29,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,479
23,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,480
24,Female,Asian,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,481
29,Male,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,482
24,Female,White,Domestic,United States,Texas,Creative Writing (MFA) Camden,Incomplete,483
31,Female,Black or African American,Domestic,United States,North Carolina,Creative Writing (MFA) Camden,Incomplete,484
22,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,485
32,Male,White,Domestic,United States,Montana,Creative Writing (MFA) Camden,Incomplete,486
22,Female,Asian; White,Domestic,United States,Ohio,Creative Writing (MFA) Camden,Incomplete,487
35,Female,White,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,488
35,Female,Black or African American,International,Kenya,Kenya,Creative Writing (MFA) Camden,Incomplete,489
23,Male,Hispanic or Latino; White,Domestic,United States,Ohio,Creative Writing (MFA) Camden,Incomplete,490
24,Male,Black or African American,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,491
22,Female,Asian; Hispanic or Latino; Native Hawaiian or Other Pacific Islander,Domestic,United States,New Jersey,Creative Writing (MFA) Camden,Incomplete,492
31,Female,White,Domestic,United States,Utah,Creative Writing (MFA) Camden,Incomplete,493
22,Female,White,Domestic,United States,Iowa,Creative Writing (MFA) Camden,Incomplete,494
39,Female,Black or African American,International,United States,Illinois,Creative Writing (MFA) Camden,Incomplete,495
23,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,496
23,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Incomplete,497
29,Female,White,Domestic,United States,Tennessee,Creative Writing (MFA) Camden,Incomplete,498
34,Female,Black or African American,International,Nigeria,Lagos,Creative Writing (MFA) Camden,Incomplete,499
32,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,500
24,Female,Hispanic or Latino,Domestic,United States,Illinois,Creative Writing (MFA) Camden,Incomplete,501
30,Male,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,502
23,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,503
37,Male,White,Domestic,United States,Kentucky,Creative Writing (MFA) Camden,Incomplete,504
27,Female,Asian,Domestic,United States,New York,Creative Writing (MFA) Camden,Incomplete,505
27,Female,Asian,International,China,Guangdong,Creative Writing (MFA) Camden,Admit,506
29,Male,Black or African American; White,Domestic,United States,Maryland,Creative Writing (MFA) Camden,Admit,507
27,Female,White,Domestic,United States,New York,Creative Writing (MFA) Camden,Admit,508
27,Female,None Listed,Domestic,United States,Arkansas,Creative Writing (MFA) Camden,Admit,509
21,Female,White,Domestic,United States,Florida,Creative Writing (MFA) Camden,Admit,510
38,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Admit-Coming,511
28,Male,White,Domestic,United States,Texas,Creative Writing (MFA) Camden,Admit-Coming,512
25,Male,Black or African American,Domestic,United States,Florida,Creative Writing (MFA) Camden,Not Coming (Fall),513
26,Female,None Listed,International,United States,District Of Columbia,Creative Writing (MFA) Camden,Not Coming (Fall),514
21,Female,Hispanic or Latino; White,Domestic,United States,New York,Criminal Justice (MA),Unsubmitted,515
22,Female,Asian,Domestic,United States,New Jersey,Criminal Justice (MA),Unsubmitted,516
31,Male,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Unsubmitted,517
23,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Unsubmitted,518
34,Female,White,Domestic,United States,None Listed,Criminal Justice (MA),Unsubmitted,519
20,Female,Asian,International,India,Bihar,Criminal Justice (MA),Unsubmitted,520
37,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Submitted App,521
23,Female,Black or African American,Domestic,United States,New Jersey,Criminal Justice (MA),Submitted App,522
22,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Submitted App,523
18,Male,Hispanic or Latino,Domestic,United States,Texas,Criminal Justice (MA),Submitted App,524
21,Male,White,Domestic,United States,New York,Criminal Justice (MA),Submitted App,525
32,Male,Asian,International,Pakistan,Punjab,Criminal Justice (MA),Submitted App,526
25,Male,Black or African American,International,Ethiopia,Wollo,Criminal Justice (MA),Submitted App,527
21,Male,Black or African American,Domestic,United States,Pennsylvania,Criminal Justice (MA),Submitted App,528
22,Male,Asian,Domestic,United States,New Jersey,Criminal Justice (MA),Submitted App,529
34,Male,White,Domestic,United States,New Jersey,Criminal Justice (MA),Submitted App,530
44,Male,Black or African American,International,Nigeria,Ekiti State,Criminal Justice (MA),Incomplete,531
21,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,532
22,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,533
25,Male,Asian,International,Saudi Arabia,None Listed,Criminal Justice (MA),Admit-Coming,534
33,Male,White,International,Saudi Arabia,Makkah,Criminal Justice (MA),Admit-Coming,535
33,Male,Black or African American,International,United States,New Jersey,Criminal Justice (MA),Admit-Coming,536
24,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,537
24,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,538
21,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,539
24,Female,Black or African American,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming,540
21,Female,Asian,International,India,Madhya Pradesh,Data Science (MS),Unsubmitted,541
21,Male,None Listed,International,India,Maharashtra,Data Science (MS),Unsubmitted,542
31,Male,None Listed,International,United States,New Jersey,Data Science (MS),Unsubmitted,543
30,Male,Asian,International,India,Kerala,Data Science (MS),Unsubmitted,544
21,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,545
23,Female,None Listed,Domestic,United States,None Listed,Data Science (MS),Unsubmitted,546
21,Female,Asian,Domestic,United States,Texas,Data Science (MS),Unsubmitted,547
26,Female,Asian,International,Mongolia,Ulaanbaatar,Data Science (MS),Unsubmitted,548
23,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,549
25,Male,Asian,International,India,Odisha,Data Science (MS),Unsubmitted,550
23,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,551
23,Male,Black or African American,International,Ghana,Volta,Data Science (MS),Unsubmitted,552
23,Male,Asian,Domestic,India,Bihar,Data Science (MS),Unsubmitted,553
21,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,554
21,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,555
21,Male,Asian,International,China,None Listed,Data Science (MS),Unsubmitted,556
22,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,557
23,Male,Black or African American,International,Ghana,Greater Accra,Data Science (MS),Unsubmitted,558
21,Female,Asian,International,India,TamilNadu,Data Science (MS),Unsubmitted,559
22,Male,Asian,International,India,Telangana,Data Science (MS),Unsubmitted,560
21,Male,Asian,International,India,TamilNadu,Data Science (MS),Unsubmitted,561
30,Female,Black or African American,International,Finland,Central Ostrobonia,Data Science (MS),Unsubmitted,562
24,Male,Asian,International,India,Bihar,Data Science (MS),Unsubmitted,563
26,Male,None Listed,International,India,Delhi,Data Science (MS),Unsubmitted,564
25,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,565
21,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,566
21,Female,White,Domestic,United States,New Jersey,Data Science (MS),Unsubmitted,567
21,Male,Asian,Domestic,India,Gujarat,Data Science (MS),Unsubmitted,568
22,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,569
22,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,570
24,Female,None Listed,International,India,Rajasthan,Data Science (MS),Unsubmitted,571
23,Female,None Listed,International,India,Karnataka,Data Science (MS),Unsubmitted,572
25,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,573
26,Female,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,574
22,Male,Asian,International,India,Gujarat,Data Science (MS),Unsubmitted,575
23,Male,Asian,Domestic,United States,Michigan,Data Science (MS),Unsubmitted,576
25,Female,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,577
21,Female,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,578
31,Female,Asian,Domestic,United States,New Jersey,Data Science (MS),Unsubmitted,579
22,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,580
24,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,581
24,Female,Asian,International,India,Tamil Nadu,Data Science (MS),Unsubmitted,582
20,Female,Asian,International,India,Haryana,Data Science (MS),Unsubmitted,583
22,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,584
23,Male,None Listed,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,585
21,Female,Asian,International,India,Telangana,Data Science (MS),Unsubmitted,586
23,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,587
22,Male,Asian,International,India,Gujarat,Data Science (MS),Unsubmitted,588
24,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,589
23,Male,Asian,International,China,Guangdong,Data Science (MS),Unsubmitted,590
24,Female,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,591
22,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,592
23,Male,Black or African American,Domestic,United States,New Jersey,Data Science (MS),Unsubmitted,593
22,Female,Asian,International,United States,Florida,Data Science (MS),Unsubmitted,594
21,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,595
22,Male,Asian,International,India,Telangana,Data Science (MS),Unsubmitted,596
23,Male,Asian,International,India,Delhi,Data Science (MS),Unsubmitted,597
22,Male,White,Domestic,United States,California,Data Science (MS),Unsubmitted,598
25,Male,Asian,International,India,Telangana,Data Science (MS),Unsubmitted,599
21,Male,Asian,International,India,TamilNadu,Data Science (MS),Unsubmitted,600
21,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,601
23,Female,Asian,International,India,Telangana,Data Science (MS),Unsubmitted,602
23,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,603
28,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Unsubmitted,604
22,Female,Asian,International,India,Kerala,Data Science (MS),Unsubmitted,605
25,Male,Black or African American,International,Nigeria,Oyo,Data Science (MS),Unsubmitted,606
21,Male,Asian,International,India,TamilNadu,Data Science (MS),Unsubmitted,607
23,Female,None Listed,International,India,Maharashtra,Data Science (MS),Unsubmitted,608
42,Male,White,Domestic,United States,New Jersey,Data Science (MS),Unsubmitted,609
24,Male,Asian,International,India,Karnataka,Data Science (MS),Unsubmitted,610
26,Male,Asian,International,India,Maharashtra,Data Science (MS),Unsubmitted,611
